Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Concorrência 318/2026 / Número do processo: 67267.002481/2026-85 / Objeto: Contratação de serviços de empresa especializada na elaboração de projetos, visando a readequação do rancho do PAMA-SP e da cozinha do rancho da BAST</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 04/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/ comprasnet-web/public/compras/acompanhamento-compra?compra=12063303003182026.</p><p class=""assina"">MATEUS DE CASTRO SARTORI</p><p class=""cargo"">Agente de contratação</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 149/2026 / Número do processo: 67532.005770/2025-78 / Objeto: Contratação de empresa especializada para prestação de serviço continuado de manutenção preventiva e corretiva, sem dedicação exclusiva de mão de obra, das unidades centrais de ar-condicionado da GUARNAE-LS, incluindo serviços sob demanda e eventual fornecimento de peças, conforme as condições e exigências do Termo de Referência.</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/ comprasnet-web/public/compras/acompanhamento-compra?compra=12063605001492026.</p><p class=""assina"">RAFAEL DO CARMO DAMASCENO</p><p class=""cargo"">Equipe de apoio</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE PENALIDADE,"<p>A Base Aérea de Florianópolis, tendo em vista os fatos apurados no Processo Administrativo de Apuração de Irregularidade nº 67272.0000845/2025-32 e 67272.009664/2024-91, resolve:</p><p>Aplicar sanção à empresa BIOLUX DO BRASIL LTDA, inscrita no CNPJ sob o nº 51.596.761/0001-99, de impedimento de licitar e contratar com órgãos e entidades da União, com o consequente descredenciamento no SICAF pelo período de 2 (dois) anos, cumulado com multa moratória no valor de R$ 15.520,53 (quinze mil, quinhentos e vinte reais e cinquenta e três centavos) e multa compensatória no valor de R$ 16.050,87 (dezesseis mil e cinquenta reais e oitenta e sete centavos), conforme decisão fundamentada tomada nos autos do aludido processo.</p><p>A aplicação da sanção se dá pelo inadimplemento das obrigações assumidas por meio das Notas de Empenho nº 2025NE000663, nº 2025NE000840, nº 2025NE000854 e nº 2025NE000864, em razão da prática das infrações dos itens 5.1 do Termo de Referência nº 01/2025 (O prazo de entrega dos bens é de trinta (30) dias corridos, contados do(a) recebimento da nota de Empenho, em remessa única) e 6.1 (O contrato ou instrumento equivalente deverá ser executado fielmente pelas partes [...]), referente à Nota de Empenho 2025NE000663, bem como pelas infrações dos itens 5.1.1 do Termo de Referência nº 05/2025 (Início da execução do objeto: em até 10 dias) e 6.1 (O contrato ou instrumento equivalente, deverá ser executado fielmente pelas partes [...]), referente às Notas de Empenho 2025NE000840, 2025NE000854 e 2025NE000864, ensejando as falhas previstas no art. 6º, itens III e VII da Portaria GABAER nº 623/GC4, de 20 de novembro de 2023, anexo IV do Edital nº 20/2025, referente ao Pregão Eletrônico nº 90035/BAFL/2025, descritas no item 16.11.4 do Edital nº 20/2025, parte integrante e inseparável do instrumento convocatório da referida licitação, conforme condições, quantidades e exigências estabelecidas no edital e seus anexos, estando as sanções em consonância com o art. 156, incisos II e III, da Lei nº 14.133/2021.</p><p class=""assina"">JOÃO PAULO GOMEZ LIMA DA SILVA</p><p class=""cargo"">CORONEL AVIADOR/Ordenador de Despesas da BAFL</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,EDITAL DE INTIMAÇÃO,"<p>A ORDENADORA DE DESPESAS DA BASE AÉREA DE NATAL - BANT - na pessoa da Sra. SILVIA NATÁLIA SOARES MENEZES DA SILVA Cel Int, faz saber a todos os que o presente edital virem ou dele tiverem conhecimento que, a empresa 60.988.967 DIRALDO BEZERRA FILHO, de CNPJ nº 60.988.697/0001-82, na pessoa de seu representante legal, o Sr. Diraldo Bezerra Filho, como não tenha sido possível citá-lo nem intimá-lo pessoalmente, pelo presente CITA-O E INTIMA-O, acerca da NOTIFICAÇÃO DE OCORRÊNCIA nº 14/SUB/8963, de 15 de junho de 2026, referente aos Empenhos nº 2025NE002045 e 2025NE002046 (enviados no dia 07 de maio de 2026), para, no prazo de 10 (dez) dias, a contar da publicação desta, executar a entrega do material constante nas Notas de empenho referenciadas, oriundas do Termo de Referência do Edital do Pregão Eletrônico nº 90050/2025, PAG nº 67222.002459/2025-71, e, disposições contidas no Art. 155 da Lei 14.133, de 2021, e Portaria nº 623/GC4, de 20 de novembro de 2023, do Comando da Aeronáutica.</p><p class=""assina"">SILVIA NATÁLIA SOARES MENEZES DA SILVA Cel Int</p><p class=""cargo"">Ordenadora de Despesas</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,EDITAL DE NOTIFICAÇÃO,"<p>ESPÉCIE 1: Considerando o esgotamento dos meios de notificação pessoal, notifica-se o Sr. MATHEUS RODRIGUES HEY, a instauração do PARE Nº1/GUARNAE-SM/2026, Processo Administrativo para Ressarcimento ao Erário (PARE) instaurado por meio da Portaria BASM n° 263/AAJ, de 08 de maio de 2026, na qual figura na condição de Agente Responsável. Fica notificado ciente do débito no valor total de R$ 904,82 (novecentos e quatro reais, oitenta e dois centavos), concedendo-lhe o prazo de 15 (quinze) dias, contados da publicação da presente notificação para apresentação da defesa escrita ou o recolhimento do valor por meio de Guia de recolhimento da União (GRU). Os autos do processo podem ser obtidos pelo interessado mediante solicitação por meio de cópia perante o protocolo da instituição.</p><p class=""assina"">FERNANDA PORTELA PEREIRA</p><p class=""cargo"">2T QOCON ENF Encarregada</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,EXTRATO DE APOSTILAMENTO Nº 4/2026 - UASG 120625,"<p>Número do Contrato: 015/GAPDF-CINDACTA I/2022.Nº Processo: 67612.009299/2021-73. Contratante: GRUPAMENTO DE APOIO DO DISTRITO FEDERAL. Contratado: 08.920.547/0001-17 - OLIVIER - LAVANDERIA LTDA. Objeto: O reajuste de preços do Contrato de Despesas Nº 015/GAPDF-CINDACTA I/2022, observado o interregno de um ano, contado dos efeitos financeiros do último reajuste de preços, formalizado por meio do 3º Termo de Apostilamento ao Contrato Nº 015/GAPDF-CINDACTA I/2022 (subprocesso 147920), e nos termos estabelecidos em sua cláusula sexta, com fundamento no Inciso XI, Art. 40 c/c §8º do Art. 65, ambos da Lei Nº 8.666/93 e Art. 61 da IN Nº 05, de 26 de maio de 2017. Valor Total do Termo de Apostilamento: R$ 6.047,52. Data de Assinatura: 27/07/2026.</p><p>(COMPRASNET 4.0 - 27/07/2026).</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,EXTRATO DE CONTRATO,"<p>1) PARTÍCIPES: Departamento de Ciência e Tecnologia Aeroespacial (DCTA) e o Centro de Referência em Tecnologias Críticas (""CRT.ai"") .2) INSTRUMENTO: Protocolo de Intenções n° 003/DCTA/2026. 3) OBJETO: A união de esforços dos partícipes para definir linhas gerais para a potencial e desejável cooperação científico tecnológica. 4) Data de Assinatura: 20 de julho de 2026. 5) Signatários: pelo DCTA, o Sr. Diretor-Geral Ten-Brigadeiro do Ar Mauro Bellintani e pelo CRTC.ai, o Sr. Hugo José Teixeira Moura - CEO so CRTC.ai</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=12,EXTRATO DE CONTRATO Nº 19/2026 - UASG 928680,"<p>Processo nº SD-ADM-2026/00790. Termo de Contrato nº 0021-PS/2026/0001. Contratante: NAV BRASIL SERVIÇOS DE NAVEGAÇÃO AÉREA S.A. Representantes: Sr. JOSÉ POMPEU DOS MAGALHÃES BRASIL FILHO, Presidente, e Sr. CARLOS ROBERTO SANTOS, Diretor de Administração. Contratada: INOVAT ELEVADORES LTDA., CNPJ nº 42.030.091/0001-58. Representante: Sra. MARILENE GONÇALVES DIAS. Objeto: prestação de serviços comuns contínuos de engenharia para manutenção corretiva, preventiva e preditiva de elevadores, com fornecimento integral de peças, sem dedicação de mão de obra exclusiva. Valor global: R$ 124.479,36 (cento e vinte e quatro mil, quatrocentos e setenta e nove reais e trinta e seis centavos). Vigência: 30 (trinta) meses. Fundamentação legal: art. 68 da Lei nº 13.303, de 30 de junho de 2016, e art. 71 do Regulamento Interno de Licitações e Contratos da NAV Brasil - RILC. Recursos Próprios. Data da Assinatura: 30/07/2026.</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,EXTRATO DE CONTRATO Nº 32/BAFZ/2026 - UASG 120014,"<p>Nº Processo: 67221.009900/2026-36.</p><p>Pregão nº 90002/2026. Contratante: BASE AÉREA DE FORTALEZA.</p><p>Contratado: 60.726.403/0001-44 - TOPEMA COZINHAS PROFISSIONAIS INDÚSTRIA E COMÉRCIO LTDA. Objeto: Aquisição de equipamentos industriais de cozinha e mobiliários em aço inoxidável para a Seção de Subsistência da Base Aérea de Fortaleza, conforme Termo de Referência.</p><p>Fundamento Legal: Lei nº 14.133/2021. Vigência: 28/07/2026 a 28/07/2027. Valor Total: R$ 493.750,00. Data de Assinatura: 28/07/2026.</p><p>(COMPRASNET 4.0 - 30/07/2026).</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,EXTRATO DE CONTRATO Nº 48/GAPDF-BABR/2026 - UASG 120625,"<p>Nº Processo: 67282.007418/2025-66. Pregão Nº 90054/2026. Contratante: GRUPAMENTO DE APOIO DO DISTRITO FEDERAL. Contratado: 02.486.144/0001-25 - PALCO LOCACAO LTDA. Objeto: O objeto do presente instrumento é a contratação de empresa especializada em serviços de logística cerimonial, a serem executados sem regime de dedicação exclusiva de mão de obra, nas condições estabelecidas no termo de referência. Fundamento Legal: LEI 14.133/2021. Vigência: 28/07/2026 a 28/07/2027. Valor Total do Termo de Contrato: R$ 483.999,96. Data de Assinatura: 28/07/2026.</p><p>(COMPRASNET 4.0 - 30/07/2026).</p>",31/07/2026
